class,color_code,superfamily
"Glioblastoma, IDH-wildtype",#68C62D,ADG
"Anaplastic astrocytoma, IDH-wildtype",#50df35,ADG
"Diffuse astrocytoma, IDH-wildtype",#57bc20,ADG
"Gemistocytic astrocytoma, IDH-mutant",#DDCA11,ADG
"Diffuse astrocytoma, IDH-mutant",#f0bf28,ADG
"Anaplastic astrocytoma, IDH-mutant",#e6cf10,ADG
"Anaplastic oligodendroglioma, IDH-mutant and 1p-19q codeleted",#FFE336,ADG
"Oligodendroglioma, IDH-mutant and 1p-19q codeleted",#ffd935,ADG
"Glioblastoma, IDH-mutant",#FFF700,ADG
"Ependymoma, RELA fusion-positive",#df6d6c,EPN
Papillary ependymoma,#B90F38,EPN
Myxopapillary ependymoma,#bf1151,EPN
Ependymoma,#FF044C,EPN
Tanycytic ependymoma,#ff0457,EPN
Anaplastic ependymoma,#ef1835,EPN
Subependymoma,#ff1a5b,EPN
Papillary meningioma,#400040,MNG
Angiomatous meningioma,#4d004d,MNG
Psammomatous meningioma,#5a005a,MNG
Chordoid meningioma,#660066,MNG
Meningothelial meningioma,#730073,MNG
Clear cell meningioma,#800080,MNG
Microcystic meningioma,#8d0d8d,MNG
Secretory meningioma,#9a1a9a,MNG
Anaplastic meningioma,#a626a6,MNG
Rhabdoid meningioma,#b333b3,MNG
Transitional meningioma,#931393,MNG
Atypical meningioma,#a020a0,MNG
Metaplastic meningioma,#ad2dad,MNG
Fibrous meningioma,#b939b9,MNG
Lymphoplasmacyte-rich meningioma,#c646c6,MNG
Pilomyxoid astrocytoma,#9D73C9,LGG/NT
Pilocytic astrocytoma,#846cd9,LGG/NT
Dysembryoplastic neuroepithelial tumour,#CB5216,LGG/NT
Rosette-forming glioneuronal tumour,#F79246,LGG/NT
Extraventricular neurocytoma,#e7b598,LGG/NT
Papillary glioneuronal tumour,#ba602b,LGG/NT
Angiocentric glioma,#E4703A,LGG/NT
Paraganglioma,#db7450,LGG/NT
Ganglioneuroma,#dc6d51,LGG/NT
Gangliocytoma,#d96623,LGG/NT
Anaplastic ganglioglioma,#f07e27,LGG/NT
Ganglioglioma,#e76639,LGG/NT
"Diffuse midline glioma, H3 K27M-mutant",#a3f187,PedDHGG
"Medulloblastoma, SHH-activated and TP53-wildtype",#8BC0FF,MB
"Medulloblastoma, SHH-activated and TP53-mutant",#8aaef8,MB
"Medulloblastoma, non-WNT-non-SHH",#6DA7D9,MB
"Medulloblastoma, WNT-activated",#5aa5e4,MB
Pituitary adenoma,#137D75,TSR
Pituicytoma,#277d75,TSR
Papillary craniopharyngioma,#4bcccb,TSR
Adamantinomatous craniopharyngioma,#73edb6,TSR
Atypical teratoid-rhabdoid tumour,#006EAD,CNS_ET
