true,pred,count
GBM,GBM,225
GBM,A_IDH,1
GBM,MNG_BEN,1
A_IDH,A_IDH,230
A_IDH,GBM,10
A_IDH,O_IDH,3
A_IDH,HGG,2
O_IDH,O_IDH,193
O_IDH,GBM,27
O_IDH,A_IDH,6
O_IDH,HGG,2
HGG,GBM,13
HGG,PA,1
HGG,HGG,1
OLIGOSARC_IDH,A_IDH,2
OLIGOSARC_IDH,O_IDH,1
GBM_CBM,GBM,1
GBM_CBM,PA,1
EPN_PFA,EPN_PFA,6
EPN_PFA,GBM,1
EPN_PFA,A_IDH,1
EPN_PFA,PA,1
EPN_ST_ZFTA_FUS,EPN_ST_ZFTA_FUS,10
EPN_ST_ZFTA_FUS,GBM,1
EPN_ST_ZFTA_FUS,A_IDH,1
EPN_MPE,EPN_MPE,27
EPN_SPINE,EPN_SPINE,18
EPN_PF_SE,EPN_PF_SE,25
EPN_PF_SE,GBM,1
EPN_PFB,EPN_PFB,5
EPN_PFB,EPN_ST_ZFTA_FUS,1
EPN_PFB,EPN_SPINE,1
EPN_SPINE_SE,GBM,1
EPN_ST_SE,EPN_ST_SE,2
MNG_BEN,MNG_BEN,77
MNG_BEN,MNG_INT,2
MNG_BEN,HMB,1
MNG_INT,MNG_BEN,24
MNG_INT,MNG_INT,11
MNG_MAL,MNG_BEN,6
MNG_MAL,MNG_INT,5
MNG_SMARCE1,MNG_BEN,1
PA,PA,50
PA,GG,5
PA,A_IDH,1
PA,EPN_MPE,1
PA,CTRL,1
PA,DNET,1
DNET,DNET,17
DNET,PA,2
DNET,GBM,1
GG,GG,4
GG,GBM,3
GG,DNET,2
GG,PA,1
DGONC,O_IDH,1
RGNT,DNET,2
RGNT,PA,1
EVNCYT,EPN_MPE,1
LGG_MYB,DNET,2
LGG_MYB,HGG,1
MYXGNT,DNET,3
MYXGNT,PA,1
PGNT,A_IDH,1
PGNT,PA,1
PGNT,DNET,1
pedHGG,A_IDH,12
pedHGG,GBM,9
pedHGG,PA,1
DMG_K27,GBM,2
DMG_K27,PA,1
DMG_K27,DMG_K27,1
DHG_G34,GBM,1
DHG_G34,A_IDH,1
MB_SHH,MB_SHH,6
MB_G4,MB_G4,4
MB_G3,MB_G3,4
MB_G3,PA,2
MB_G3,MNG_BEN,1
MB_G3,MB_G4,1
MB_WNT,RMS,1
PITAD,PITAD,2
CPH_ADM,CPH_ADM,2
ATRT,ATRT,2
CNS_BCOR_ITD,EPN_ST_ZFTA_FUS,1
ET_PLAG,GBM,1
CNS_BCOR_FUS,EPN_ST_ZFTA_FUS,1
CNET,GBM,1
NFIB_PLEX,SCHW,3
NFIB_PLEX,MNG_BEN,1
SCHW,SCHW,6
SCHW,GBM,1
CAUDEQU_NET,O_IDH,1
CHORDM,CHORDM,4
EWS,EWS,1
EWS,PB_GRP1,1
HMB,HMB,6
CTRL,O_IDH,6
CTRL,GBM,5
CTRL,CTRL,3
CTRL,A_IDH,2
CTRL,DNET,2
CTRL_REACTIVE,PA,6
PXA,PXA,5
PXA,GBM,3
PXA,MNG_BEN,1
HGAP,PA,4
HGAP,GBM,2
HGAP,A_IDH,1
PB_GRP1,PB_GRP1,1
NORM_PIN_CYT,NORM_PIN_CYT,3
CPP,CPP,6
CPP,CPC,1
CPC,CPP,3
RMS,RMS,1
SEGA,SEGA,3
INFLAM_ENV,GBM,2
ABM_MN1,ABM_MN1,5
ABM_MN1,MB_G3,1
MET_MEL,GBM,1
MET_MEL,MNG_BEN,1
MET_MEL,MELN,1
CN,CN,3
MELN,MELN,7
MELN,MNG_BEN,1
DLGNT,DNET,1
